sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;45999;48.808;9.182;2022-11-11T04:39:52;99561.69;;;5.25;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:42:37;99559.78;;;5.18;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:45:04;99573.44;;;5.13;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:48:01;99573.19;;;5.07;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:50:31;99572.22;;;5.08;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:52:59;99591.78;;;5.05;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:55:26;99597.91;;;5.06;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:58:10;99597.59;;;5.09;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:00:37;99599.03;;;5.03;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:03:04;99613.88;;;4.95;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:08:30;99631.28;;;4.88;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:11:14;99633.59;;;4.91;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:13:41;99635.84;;;4.86;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:16:27;99642.47;;;4.90;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:19:13;99644.28;;;4.89;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:24:42;99650.84;;;4.85;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:27:26;99656.91;;;4.86;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:29:53;99647.91;;;4.88;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:32:21;99656.53;;;4.81;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:34:48;99647.63;;;4.82;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:37:15;99651.94;;;4.83;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:39:42;99649.47;;;4.81;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:42:08;99657.50;;;4.80;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:44:35;99663.75;;;4.79;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:47:01;99670.38;;;4.83;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:49:28;99669.84;;;4.79;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:51:54;99673.44;;;4.78;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:54:22;99674.72;;;4.74;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:56:48;99674.44;;;4.68;nan
113;BME280;45999;48.808;9.182;2022-11-11T05:59:15;99677.78;;;4.70;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:01:41;99682.34;;;4.68;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:04:08;99680.13;;;4.73;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:06:35;99679.16;;;4.74;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:09:02;99683.31;;;4.76;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:11:30;99684.66;;;4.80;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:13:56;99686.19;;;4.83;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:16:23;99686.50;;;4.80;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:18:50;99690.78;;;4.81;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:21:16;99696.59;;;4.84;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:23:43;99696.44;;;4.86;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:26:11;99701.44;;;4.89;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:28:45;99708.22;;;4.91;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:31:15;99714.88;;;4.86;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:33:41;99711.97;;;4.89;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:36:10;99716.28;;;4.90;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:38:37;99719.03;;;4.88;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:41:04;99719.56;;;4.92;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:43:30;99721.25;;;4.93;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:45:57;99726.53;;;4.83;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:48:25;99726.66;;;4.91;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:50:52;99718.31;;;4.96;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:53:20;99721.81;;;4.87;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:55:47;99714.75;;;4.97;nan
113;BME280;45999;48.808;9.182;2022-11-11T06:58:18;99721.69;;;4.88;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:00:46;99725.72;;;4.83;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:03:18;99721.13;;;4.85;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:05:45;99727.78;;;4.89;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:08:16;99728.34;;;4.83;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:10:45;99730.88;;;4.75;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:13:14;99729.06;;;4.75;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:15:43;99735.16;;;4.76;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:18:11;99734.19;;;4.77;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:20:38;99721.41;;;4.91;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:23:04;99730.56;;;4.87;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:25:31;99731.41;;;4.88;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:27:58;99729.31;;;4.91;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:30:24;99724.44;;;4.96;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:32:51;99733.34;;;4.86;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:35:19;99742.91;;;4.87;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:37:46;99739.66;;;5.02;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:40:15;99743.53;;;5.08;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:42:42;99736.97;;;5.21;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:45:10;99741.31;;;5.13;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:47:36;99735.44;;;5.19;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:50:04;99743.88;;;5.32;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:52:31;99742.44;;;5.10;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:54:58;99741.34;;;5.03;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:57:24;99734.78;;;5.07;nan
113;BME280;45999;48.808;9.182;2022-11-11T07:59:50;99738.41;;;5.16;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:02:17;99729.16;;;5.29;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:04:43;99738.78;;;5.21;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:07:10;99730.28;;;5.27;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:09:36;99729.94;;;5.39;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:12:02;99731.78;;;5.39;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:14:46;99738.03;;;5.38;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:17:13;99737.72;;;5.41;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:19:39;99733.94;;;5.53;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:22:05;99742.75;;;5.61;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:24:32;99735.09;;;5.68;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:26:58;99731.88;;;5.74;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:29:24;99725.31;;;5.78;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:31:51;99732.56;;;5.76;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:34:18;99727.94;;;5.78;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:36:44;99724.28;;;5.61;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:39:10;99729.81;;;5.68;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:41:37;99733.00;;;5.71;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:44:03;99727.88;;;5.70;nan
113;BME280;45999;48.808;9.182;2022-11-11T08:46:30;99730.50;;;5.70;nan
